Generations completed,Execution Time,CPU Time
Generations completed,Execution Time,CPU Time
1,1701840203.0499642,52.220051254
2,1701867920.00901,90.582656252
3,1701895804.2779925,129.871774273
4,1701923366.5494711,170.492956871
5,1701950890.1618195,210.555064263
6,1701978221.7182226,250.599294913
7,1702005541.0524564,290.893424825
8,1702032802.9753768,332.121104061
9,1702060241.1384935,373.074053365
10,1702087858.984881,414.137899493
11,1702115038.1623971,455.506742256
12,1702142083.43551,496.724903505
13,1702168984.4261742,538.58696782
14,1702195924.343509,580.790196583
15,1702222913.7693546,623.311425529
16,1702249949.3003063,666.054521082
17,1702276915.2767959,709.489960673
18,1702303986.6496465,752.609902049
19,1702331195.9556727,796.102430027
20,1702358201.2248933,839.407423893
21,1702385225.8894203,882.99905952
22,1702412728.6943326,928.116153816
23,1702439735.5704496,974.62523288
24,1702466343.7148876,1023.580750386
25,1702492970.785189,1073.231475533
26,1702519575.9131715,1124.086996357
27,1702546216.5378819,1174.944230395
28,1702573009.5453632,1224.827633777
29,1702599036.701008,1273.524241556
30,1702629673.1213546,1323.501932469
31,1702657684.2344177,1373.97872797
